symptom,description,severityLevel,precautions,disease
Unintended Weight Loss,"Unintended Weight Loss can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Unintended Weight Gain,"Many people experience Unintended Weight Gain when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Dizziness,"Many people experience Dizziness when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Lightheadedness,"Lightheadedness can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Vertigo,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Vertigo. Early attention helps recovery.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Fainting,"Fainting can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Severe,Seek immediate medical assistance without delay. Consult a doctor immediately.,General Systemic Issue
Excessive Sweating,"Excessive Sweating often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Night Sweats,Sometimes Night Sweats happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Shivering,"Shivering often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Chills,"Chills can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
High Blood Pressure,"High Blood Pressure may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Moderate,"Avoid strenuous work and drink plenty of fluids. If symptoms worsen, consult a doctor.",General Systemic Issue
Low Blood Pressure,Sometimes Low Blood Pressure happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Rapid Heart Rate,"Rapid Heart Rate can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Moderate,"Monitor your symptoms closely and reduce physical activity. If symptoms worsen, consult a doctor.",Cardiac Issue
Slow Heart Rate,"Many people experience Slow Heart Rate when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Cardiac Issue
Palpitations,"Palpitations can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Cardiac Issue
Hand Tremors,"Hand Tremors can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Leg Tremors,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Leg Tremors. Early attention helps recovery.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Numbness,"Numbness may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Tingling,Sometimes Tingling happens when the immune system is responding to minor infections or environmental factors.,Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Pins And Needles,"Pins and Needles often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Muscle Spasm,"Muscle Spasm may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Muscle Cramps,"Many people experience Muscle Cramps when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Muscle Weakness,"Muscle Weakness often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Skin Rash,"Skin Rash can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Itching,Sometimes Itching happens when the immune system is responding to minor infections or environmental factors.,Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Dry Skin,"Many people experience Dry Skin when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Oily Skin,"Oily Skin may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Red Eyes,"Red Eyes may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Dry Eyes,"Dry Eyes may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Watery Eyes,"Watery Eyes can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Blurred Vision,"Blurred Vision may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Double Vision,"Many people experience Double Vision when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Eye Pain,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Eye Pain. Early attention helps recovery.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Eye Irritation,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Eye Irritation. Early attention helps recovery.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Ear Pain,"Ear Pain often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Hearing Loss,Sometimes Hearing Loss happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Tinnitus,"Many people experience Tinnitus when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Toothache,"Many people experience Toothache when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Dental / Oral Issue
Bleeding Gums,"Bleeding Gums often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Dental / Oral Issue
Mouth Ulcers,Sometimes Mouth Ulcers happens when the immune system is responding to minor infections or environmental factors.,Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Dental / Oral Issue
Burning Mouth,"Many people experience Burning Mouth when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Dental / Oral Issue
Difficulty Swallowing,Sometimes Difficulty Swallowing happens when the immune system is responding to minor infections or environmental factors.,Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Hoarse Voice,"Hoarse Voice can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Throat Swelling,"Throat Swelling may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Severe,Avoid physical exertion and call emergency support. Consult a doctor immediately.,ENT Issue
Chest Burning,"Many people experience Chest Burning when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Dry Mouth,"Many people experience Dry Mouth when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Dental / Oral Issue
Excessive Thirst,"Excessive Thirst often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Dehydration,"Dehydration can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Frequent Urination,"Frequent Urination can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Burning Urination,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Burning Urination. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Blood In Urine,Sometimes Blood in Urine happens when the immune system is responding to minor infections or environmental factors.,Severe,Seek immediate medical assistance without delay. Consult a doctor immediately.,General Systemic Issue
Dark Urine,"Dark Urine can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Yellow Skin,"Yellow Skin can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Pale Skin,"Pale Skin can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Cold Hands,Sometimes Cold Hands happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Cold Feet,"Cold Feet often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Hot Flashes,"Hot Flashes may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Heat Intolerance,"Many people experience Heat Intolerance when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Cold Intolerance,"Cold Intolerance can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Hair Loss,Sometimes Hair Loss happens when the immune system is responding to minor infections or environmental factors.,Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Dandruff,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Dandruff. Early attention helps recovery.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Scalp Pain,Sometimes Scalp Pain happens when the immune system is responding to minor infections or environmental factors.,Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Acne,Sometimes Acne happens when the immune system is responding to minor infections or environmental factors.,Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Psoriasis Flare,"Psoriasis Flare can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Eczema Patch,"Eczema Patch can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Swollen Lymph Nodes,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Swollen Lymph Nodes. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Leg Cramps,"Leg Cramps can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Stomach Cramps,"Many people experience Stomach Cramps when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Gastrointestinal Issue
Allergy Sneezing,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Allergy Sneezing. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Allergic Cough,"Many people experience Allergic Cough when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Allergic Rash,"Many people experience Allergic Rash when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Breathing Difficulty During Exercise,"Breathing Difficulty During Exercise can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Rapid Breathing,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Rapid Breathing. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Slow Breathing,"Slow Breathing may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Chest Congestion,"Chest Congestion can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Difficulty Concentrating,"Difficulty Concentrating often develops because of irritation, lack of rest, or mild health disturbances. Identifying triggers helps in controlling it.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Short-Term Memory Loss,"Short-Term Memory Loss can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Long-Term Memory Loss,"Long-Term Memory Loss can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Confusion,"Confusion can appear due to infections, seasonal changes, or physical strain. It may interfere with daily comfort if not managed properly.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Anxiety,"Many people experience Anxiety when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Panic Attack,"Panic Attack can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Depression,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Depression. Early attention helps recovery.",Mild,Avoid heavy foods and try to keep your body relaxed. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Irritability,"Irritability can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Mood Swings,"A number of everyday factors like climate shifts, fatigue, or allergies may lead to Mood Swings. Early attention helps recovery.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Restlessness,"Restlessness may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Excessive Sleepiness,"Excessive Sleepiness can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Insomnia,"Many people experience Insomnia when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Rest properly and stay hydrated throughout the day. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Nightmares,"Many people experience Nightmares when their body reacts to inflammation, dehydration, or sudden lifestyle changes.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Low Energy,"Low Energy can be linked to tiredness, digestive imbalance, or temporary internal irritation. Proper care usually improves the condition.",Mild,Maintain a healthy routine and get enough sleep. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Loss Of Smell,"Loss of Smell may arise from stress, poor nutrition, or viral illnesses. Monitoring symptoms can help in early understanding.",Mild,Drink warm fluids and avoid exposure to cold environments. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
